time_s,ay_raw,ay_g
0.000910,-352,-0.021484
0.052789,-388,-0.023682
0.104605,-400,-0.024414
0.156272,-580,-0.035400
0.208069,-472,-0.028809
0.259854,-372,-0.022705
0.311519,-444,-0.027100
0.363219,-372,-0.022705
0.415017,-392,-0.023926
0.466810,-472,-0.028809
0.518635,-332,-0.020264
0.570566,-288,-0.017578
0.622429,-424,-0.025879
0.674140,-416,-0.025391
0.725852,-384,-0.023438
0.777629,-404,-0.024658
0.829373,-340,-0.020752
0.881048,-396,-0.024170
0.932883,-392,-0.023926
0.984532,-452,-0.027588
1.036320,-400,-0.024414
1.088194,-396,-0.024170
1.139960,-444,-0.027100
1.191552,-288,-0.017578
1.243332,-440,-0.026855
1.294839,-420,-0.025635
1.346587,-396,-0.024170
1.398408,-408,-0.024902
1.450155,-372,-0.022705
1.502020,-344,-0.020996
1.553499,-336,-0.020508
1.605377,-380,-0.023193
1.657156,-376,-0.022949
1.708917,-352,-0.021484
1.760710,-296,-0.018066
1.812433,-344,-0.020996
1.864183,-380,-0.023193
1.915962,-388,-0.023682
1.967700,-388,-0.023682
2.019685,-56,-0.003418
2.071392,-444,-0.027100
2.123244,-332,-0.020264
2.174990,-444,-0.027100
2.226742,-384,-0.023438
2.278485,-288,-0.017578
2.330195,-340,-0.020752
2.381955,-384,-0.023438
2.433738,-484,-0.029541
2.485281,-316,-0.019287
2.537169,-348,-0.021240
2.589037,-396,-0.024170
2.640819,-416,-0.025391
2.692476,-448,-0.027344
2.744135,-444,-0.027100
2.795932,-444,-0.027100
2.847622,-380,-0.023193
2.899386,-416,-0.025391
2.951191,-448,-0.027344
3.003003,-332,-0.020264
3.054771,-300,-0.018311
3.106618,-396,-0.024170
3.158366,-316,-0.019287
3.210121,-372,-0.022705
3.262009,-452,-0.027588
3.313845,-412,-0.025146
3.365604,-368,-0.022461
3.417410,-416,-0.025391
3.469147,-452,-0.027588
3.521089,-1020,-0.062256
3.572597,-244,-0.014893
3.624429,-200,-0.012207
3.676117,-368,-0.022461
3.728001,-356,-0.021729
3.779776,2244,0.136963
3.831622,2232,0.136230
3.883245,-896,-0.054688
3.935068,-2740,-0.167236
3.986862,-1884,-0.114990
4.038716,-376,-0.022949
4.090456,-116,-0.007080
4.142294,-368,-0.022461
4.194055,-380,-0.023193
4.245840,-452,-0.027588
4.297567,336,0.020508
4.349360,2644,0.161377
4.401116,-248,-0.015137
4.452829,-2916,-0.177979
4.504409,-3328,-0.203125
4.556223,-1364,-0.083252
4.607915,-404,-0.024658
4.659287,-408,-0.024902
4.711106,-576,-0.035156
4.762896,-496,-0.030273
4.814799,-1208,-0.073730
4.866629,112,0.006836
4.918495,-120,-0.007324
4.970297,4520,0.275879
5.022088,-348,-0.021240
5.073902,-5304,-0.323730
5.125604,-1736,-0.105957
5.177599,-436,-0.026611
5.229481,-304,-0.018555
5.281268,-256,-0.015625
5.333035,-552,-0.033691
5.384717,-192,-0.011719
5.436542,-520,-0.031738
5.488281,-516,-0.031494
5.540029,-68,-0.004150
5.591529,132,0.008057
5.643356,6128,0.374023
5.694854,-3204,-0.195557
5.746602,-2052,-0.125244
5.798378,-312,-0.019043
5.850106,-340,-0.020752
5.901760,-356,-0.021729
5.953461,-336,-0.020508
6.005221,-220,-0.013428
6.057163,-256,-0.015625
6.109034,-220,-0.013428
6.160833,-312,-0.019043
6.212447,-960,-0.058594
6.264232,-5500,-0.335693
6.315910,-2140,-0.130615
6.367630,1136,0.069336
6.419444,2940,0.179443
6.471182,316,0.019287
6.522780,-316,-0.019287
6.574530,-260,-0.015869
6.626242,-420,-0.025635
6.677928,-284,-0.017334
6.729629,-284,-0.017334
6.781487,-5276,-0.322021
6.833306,-2744,-0.167480
6.885094,3340,0.203857
6.936865,4020,0.245361
6.988716,-212,-0.012939
7.040575,-308,-0.018799
7.092353,-108,-0.006592
7.144140,-412,-0.025146
7.195889,-388,-0.023682
7.247696,-408,-0.024902
7.299421,-1948,-0.118896
7.351204,-3356,-0.204834
7.402972,1256,0.076660
7.454740,4812,0.293701
7.506474,-580,-0.035400
7.558158,-332,-0.020264
7.609762,-688,-0.041992
7.661427,-408,-0.024902
7.713171,-344,-0.020996
7.764951,-508,-0.031006
7.816721,-356,-0.021729
7.868522,-352,-0.021484
7.920302,-68,-0.004150
7.971868,3052,0.186279
8.023434,5220,0.318604
8.075048,-7600,-0.463867
8.126904,-2340,-0.142822
8.178651,-1048,-0.063965
8.230417,-236,-0.014404
8.282097,-320,-0.019531
8.333929,-340,-0.020752
8.385633,-128,-0.007812
8.437425,3192,0.194824
8.489265,6116,0.373291
8.541102,-6612,-0.403564
8.592849,-4676,-0.285400
8.644552,236,0.014404
8.696303,-8,-0.000488
8.747976,-292,-0.017822
8.799798,-520,-0.031738
8.851634,-12,-0.000732
8.903564,-108,-0.006592
8.955353,7084,0.432373
9.007056,424,0.025879
9.058844,-7320,-0.446777
9.110631,-2976,-0.181641
9.162416,-2756,-0.168213
9.214210,36,0.002197
9.265963,-148,-0.009033
9.317724,-236,-0.014404
9.369430,-288,-0.017578
9.421343,-264,-0.016113
9.473143,-5976,-0.364746
9.524921,-5456,-0.333008
9.576739,3308,0.201904
9.628389,9572,0.584229
9.680148,172,0.010498
9.732053,-488,-0.029785
9.783838,-168,-0.010254
9.835695,-328,-0.020020
9.887526,-192,-0.011719
9.939346,-400,-0.024414
9.991132,-4520,-0.275879
10.042987,-7864,-0.479980
10.094749,-872,-0.053223
10.146485,4080,0.249023
10.198119,2556,0.156006
10.249867,-12884,-0.786377
10.301523,-472,-0.028809
10.353328,-452,-0.027588
10.405099,-264,-0.016113
10.456879,-416,-0.025391
10.508614,-248,-0.015137
10.560374,2448,0.149414
10.612095,1156,0.070557
10.663876,4372,0.266846
10.715656,1100,0.067139
10.767343,-1648,-0.100586
10.819095,-5748,-0.350830
10.870905,-3440,-0.209961
10.922562,-2720,-0.166016
10.974209,-240,-0.014648
11.025967,-336,-0.020508
11.077748,-380,-0.023193
11.129485,-292,-0.017822
11.181316,-384,-0.023438
11.233174,-308,-0.018799
11.284954,-1304,-0.079590
11.336760,-2088,-0.127441
11.388568,224,0.013672
11.440412,-2072,-0.126465
11.492185,-1704,-0.104004
11.543948,-1176,-0.071777
11.595713,2756,0.168213
11.647478,4620,0.281982
11.699239,-1352,-0.082520
11.750997,-408,-0.024902
11.802866,-256,-0.015625
11.854659,-432,-0.026367
11.906413,-204,-0.012451
11.958196,-308,-0.018799
12.009904,1348,0.082275
12.061705,5136,0.313477
12.113454,1024,0.062500
12.165195,1820,0.111084
12.216963,748,0.045654
12.268729,-448,-0.027344
12.320470,-4244,-0.259033
12.372231,-4692,-0.286377
12.423986,-3716,-0.226807
12.475765,-1048,-0.063965
12.527395,-332,-0.020264
12.579244,-216,-0.013184
12.631047,-292,-0.017822
12.682793,-308,-0.018799
12.734501,-376,-0.022949
12.786350,-1236,-0.075439
12.838155,-2504,-0.152832
12.889894,-2116,-0.129150
12.941653,-5028,-0.306885
12.993435,-2144,-0.130859
13.045259,48,0.002930
13.097130,1520,0.092773
13.148918,-1820,-0.111084
13.200651,992,0.060547
13.252356,-1312,-0.080078
13.304074,-124,-0.007568
13.355855,20,0.001221
13.407658,-112,-0.006836
13.459467,4,0.000244
13.511173,-16,-0.000977
13.563012,1692,0.103271
13.614890,84,0.005127
13.666717,3204,0.195557
13.718366,2368,0.144531
13.770175,-244,-0.014893
13.821970,-1152,-0.070312
13.873605,-1988,-0.121338
13.925454,-4500,-0.274658
13.977292,-2980,-0.181885
14.029049,-1680,-0.102539
14.080910,-196,-0.011963
14.132728,-308,-0.018799
14.184512,-260,-0.015869
14.236191,-260,-0.015869
14.287721,-256,-0.015625
14.339273,-3232,-0.197266
14.390924,-1376,-0.083984
14.442569,-3740,-0.228271
14.494093,-2700,-0.164795
14.545780,-3876,-0.236572
14.597451,-132,-0.008057
14.649137,2348,0.143311
14.700783,3384,0.206543
14.752407,-1012,-0.061768
14.804310,-220,-0.013428
14.856146,-112,-0.006836
14.907858,-212,-0.012939
14.959752,-200,-0.012207
15.011501,-180,-0.010986
15.063276,492,0.030029
15.114839,2080,0.126953
15.166420,-3896,-0.237793
15.218122,-308,-0.018799
15.269820,468,0.028564
15.321598,16,0.000977
15.373266,1976,0.120605
15.424870,-2728,-0.166504
15.476530,-2168,-0.132324
15.528153,-3756,-0.229248
15.579818,-3552,-0.216797
15.631370,-728,-0.044434
15.682786,-208,-0.012695
15.734449,-308,-0.018799
15.786144,-276,-0.016846
15.837772,-724,-0.044189
15.889434,-2316,-0.141357
15.940923,-2536,-0.154785
15.992511,-4072,-0.248535
16.044233,-2040,-0.124512
16.095900,-4968,-0.303223
16.147632,1324,0.080811
16.199244,2664,0.162598
16.251071,4200,0.256348
16.302852,-688,-0.041992
16.354622,-132,-0.008057
16.406448,-32,-0.001953
16.458204,-196,-0.011963
16.509901,-64,-0.003906
16.561746,-208,-0.012695
16.613502,1244,0.075928
16.665304,2968,0.181152
16.717042,3508,0.214111
16.768734,2540,0.155029
16.820558,1004,0.061279
16.872378,424,0.025879
16.924155,-2428,-0.148193
16.975938,-2484,-0.151611
17.027705,-3296,-0.201172
17.079550,-3740,-0.228271
17.131300,-2100,-0.128174
17.183060,-1156,-0.070557
17.234845,-320,-0.019531
17.286693,-212,-0.012939
17.338481,-284,-0.017334
17.390266,-244,-0.014893
17.442069,-308,-0.018799
17.493846,-1280,-0.078125
17.545696,-2664,-0.162598
17.597460,-2572,-0.156982
17.649180,-3432,-0.209473
17.701028,-2376,-0.145020
17.752810,344,0.020996
17.804619,12372,0.755127
17.856427,-580,-0.035400
17.908166,-128,-0.007812
17.959978,-28,-0.001709
18.011682,-408,-0.024902
18.063475,460,0.028076
18.115176,-16,-0.000977
18.166685,-72,-0.004395
18.218458,-108,-0.006592
18.270122,528,0.032227
18.321880,1676,0.102295
18.373445,15216,0.928711
18.425270,1636,0.099854
18.477013,912,0.055664
18.528798,1048,0.063965
18.580416,2312,0.141113
18.632088,-1448,-0.088379
18.683816,-3552,-0.216797
18.735679,-920,-0.056152
18.787094,-2184,-0.133301
18.838789,-512,-0.031250
18.890631,-244,-0.014893
18.942471,-324,-0.019775
18.994258,-180,-0.010986
19.046074,-268,-0.016357
19.097638,-216,-0.013184
19.149426,-652,-0.039795
19.201277,-1288,-0.078613
19.253076,-1888,-0.115234
19.304750,-3560,-0.217285
19.356259,-4396,-0.268311
19.407949,-1404,-0.085693
19.459654,-2552,-0.155762
19.511379,4224,0.257812
19.563008,12512,0.763672
19.614774,-328,-0.020020
19.666575,-104,-0.006348
19.718316,-240,-0.014648
19.770051,-200,-0.012207
19.821686,-172,-0.010498
19.873343,-108,-0.006592
19.924975,-164,-0.010010
19.976587,-256,-0.015625
20.028091,-212,-0.012939
20.079738,-216,-0.013184
20.131312,920,0.056152
20.182940,2436,0.148682
20.234493,4028,0.245850
20.286118,2296,0.140137
20.337592,-684,-0.041748
20.389266,-524,-0.031982
20.440927,-1284,-0.078369
20.492394,-3444,-0.210205
20.543933,-2088,-0.127441
20.595602,-2536,-0.154785
20.647110,-156,-0.009521
20.698709,-200,-0.012207
20.750286,-204,-0.012451
20.801976,-252,-0.015381
20.853489,-316,-0.019287
20.904992,-200,-0.012207
20.956592,-244,-0.014893
21.008116,-80,-0.004883
21.059513,-324,-0.019775
21.110957,-204,-0.012451
21.162256,-340,-0.020752
21.213789,-228,-0.013916
21.265193,-260,-0.015869
21.316791,-220,-0.013428
21.368296,-3248,-0.198242
21.419730,-3740,-0.228271
21.471168,-5248,-0.320312
21.522822,-2508,-0.153076
21.574727,2628,0.160400
21.626507,5152,0.314453
21.678251,3532,0.215576
21.729953,-244,-0.014893
21.781574,-76,-0.004639
21.833224,-224,-0.013672
21.885037,-76,-0.004639
21.936550,-496,-0.030273
21.988315,-188,-0.011475
22.040092,-136,-0.008301
22.091917,-64,-0.003906
22.143603,-164,-0.010010
22.195322,-64,-0.003906
22.246884,-172,-0.010498
22.298644,-64,-0.003906
22.350438,-152,-0.009277
22.402243,-204,-0.012451
22.453917,-128,-0.007812
22.505646,-120,-0.007324
22.557450,-56,-0.003418
22.609270,-164,-0.010010
22.661064,-200,-0.012207
22.712828,-156,-0.009521
22.764578,-128,-0.007812
22.816451,156,0.009521
22.868281,364,0.022217
22.920043,3400,0.207520
22.971785,-472,-0.028809
23.023507,1156,0.070557
23.075339,2620,0.159912
23.127076,1240,0.075684
23.178840,-3884,-0.237061
23.230587,-4580,-0.279541
23.282271,-4288,-0.261719
23.334047,-1648,-0.100586
23.385757,-236,-0.014404
23.437420,-240,-0.014648
23.489188,-200,-0.012207
23.541003,-240,-0.014648
23.592873,-208,-0.012695
23.644639,-136,-0.008301
23.696285,-168,-0.010254
23.748126,-144,-0.008789
23.799912,-148,-0.009033
23.851637,-244,-0.014893
23.903457,-228,-0.013916
23.955179,-260,-0.015869
24.006941,-200,-0.012207
24.058651,-288,-0.017578
24.110454,-260,-0.015869
24.162110,-336,-0.020508
24.213809,-1596,-0.097412
24.265409,-3916,-0.239014
24.317168,-2116,-0.129150
24.368854,-3200,-0.195312
24.420674,-1860,-0.113525
24.472390,2612,0.159424
24.524150,4168,0.254395
24.575933,1804,0.110107
24.627735,1440,0.087891
24.679539,828,0.050537
24.731266,-48,-0.002930
24.782987,-8,-0.000488
24.834790,-144,-0.008789
24.886535,-12,-0.000732
24.938334,-60,-0.003662
24.990048,36,0.002197
25.041901,-64,-0.003906
25.093624,-100,-0.006104
25.145410,-112,-0.006836
25.197191,-96,-0.005859
25.249017,-288,-0.017578
25.300739,-264,-0.016113
25.352385,-240,-0.014648
25.404073,-292,-0.017822
25.455807,-232,-0.014160
25.507593,-216,-0.013184
25.559350,-220,-0.013428
25.610915,-212,-0.012939
25.662621,-360,-0.021973
25.714342,-160,-0.009766
25.766143,-224,-0.013672
25.817985,-252,-0.015381
25.869704,-260,-0.015869
25.921402,-364,-0.022217
25.973163,-312,-0.019043
26.024960,-216,-0.013184
